         16168406 function calls (16154416 primitive calls) in 13.867 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1762/1    0.022    0.000   13.870   13.870 {built-in method builtins.exec}
        1    0.012    0.012   13.870   13.870 tune.py:1(<module>)
     3691    0.023    0.000   12.512    0.003 env.py:49(step)
     1836    0.050    0.000   11.202    0.006 env.py:193(find_schedulable_instructions)
  160/136    0.002    0.000    8.493    0.062 env.py:156(init_new_block)
      160    0.080    0.001    8.492    0.053 utils.py:73(create_dependency_graphs)
   183140    1.003    0.000    8.045    0.000 utils.py:96(depends_on)
   575259    0.581    0.000    3.103    0.000 value.py:316(__next__)
    91073    0.194    0.000    2.678    0.000 env.py:208(is_schedulable)
   572916    0.915    0.000    2.108    0.000 value.py:402(_next)
   574845    0.459    0.000    2.097    0.000 ffi.py:302(__del__)
  1155533    2.071    0.000    2.071    0.000 ffi.py:112(__call__)
   103084    0.276    0.000    1.795    0.000 value.py:295(opcode)
   574845    0.544    0.000    1.547    0.000 ffi.py:259(close)
   186831    0.594    0.000    1.359    0.000 value.py:281(operands)
   103094    0.199    0.000    1.234    0.000 ffi.py:228(ret_string)
    841/1    0.006    0.000    1.191    1.191 <frozen importlib._bootstrap>:966(_find_and_load)
    836/1    0.004    0.000    1.191    1.191 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    807/1    0.005    0.000    1.191    1.191 <frozen importlib._bootstrap>:651(_load_unlocked)
    714/1    0.003    0.000    1.191    1.191 <frozen importlib._bootstrap_external>:672(exec_module)
   1030/1    0.001    0.000    1.191    1.191 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    1.191    1.191 env.py:1(<module>)
   862392    0.869    0.000    1.178    0.000 ffi.py:310(__eq__)
       37    0.003    0.000    1.054    0.028 __init__.py:1(<module>)
     3691    0.014    0.000    0.851    0.000 env.py:77(update_state)
   327335    0.266    0.000    0.810    0.000 ffi.py:319(__hash__)
     3691    0.096    0.000    0.807    0.000 env.py:104(compute_operands_ages)
        4    0.000    0.000    0.763    0.191 utils.py:1(<module>)
    92798    0.144    0.000    0.739    0.000 reportviews.py:342(__call__)
   454/74    0.001    0.000    0.731    0.010 {built-in method builtins.__import__}
2965/1582    0.004    0.000    0.708    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
   430433    0.659    0.000    0.659    0.000 __init__.py:484(cast)
   186831    0.285    0.000    0.645    0.000 value.py:399(_dispose)
   103095    0.088    0.000    0.479    0.000 ffi.py:202(__del__)
   389981    0.268    0.000    0.406    0.000 value.py:81(__init__)
   103094    0.130    0.000    0.386    0.000 ffi.py:172(from_return)
   103096    0.211    0.000    0.370    0.000 ffi.py:189(close)
        1    0.000    0.000    0.359    0.359 __init__.py:54(<module>)
        1    0.000    0.000    0.352    0.352 pyplot.py:19(<module>)
    92798    0.093    0.000    0.317    0.000 reportviews.py:482(__getitem__)
   574845    0.311    0.000    0.311    0.000 ffi.py:269(detach)
        3    0.000    0.000    0.308    0.103 __init__.py:4(<module>)
  1155779    0.298    0.000    0.300    0.000 ffi.py:56(__getattr__)
      826    0.046    0.000    0.228    0.000 digraph.py:643(add_edges_from)
   187019    0.145    0.000    0.226    0.000 value.py:308(__init__)
        7    0.000    0.000    0.224    0.032 __init__.py:3(<module>)
     3115    0.043    0.000    0.223    0.000 {method 'index' of 'list' objects}
   577014    0.218    0.000    0.218    0.000 ffi.py:252(__init__)
    92798    0.063    0.000    0.203    0.000 digraph.py:985(in_degree)
