         297657109 function calls (297643119 primitive calls) in 96.408 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1762/1    0.033    0.000   96.413   96.413 {built-in method builtins.exec}
        1    0.012    0.012   96.413   96.413 tune.py:1(<module>)
     3701    0.016    0.000   94.738    0.026 env.py:49(step)
     1836    0.131    0.000   93.647    0.051 env.py:190(find_schedulable_instructions)
    91073    1.630    0.000   88.222    0.001 env.py:205(is_schedulable)
 72984978   53.436    0.000   73.879    0.000 ffi.py:310(__eq__)
    20131    0.044    0.000   54.346    0.003 {built-in method builtins.all}
   328113    9.803    0.000   54.309    0.000 env.py:212(<genexpr>)
   115392    4.189    0.000   23.619    0.000 env.py:216(is_block_instruction)
145969956   10.948    0.000   10.948    0.000 {built-in method _ctypes.addressof}
72997470/72997461    9.506    0.000    9.506    0.000 {built-in method builtins.hasattr}
  160/136    0.002    0.000    5.056    0.037 env.py:153(init_new_block)
      160    0.025    0.000    5.054    0.032 utils.py:55(create_memory_dependency_graph)
    43724    0.903    0.000    4.934    0.000 {method 'index' of 'list' objects}
    20278    0.011    0.000    4.734    0.000 utils.py:73(is_before)
    841/1    0.008    0.000    1.534    1.534 <frozen importlib._bootstrap>:966(_find_and_load)
    836/1    0.006    0.000    1.534    1.534 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    807/1    0.007    0.000    1.534    1.534 <frozen importlib._bootstrap>:651(_load_unlocked)
    714/1    0.004    0.000    1.534    1.534 <frozen importlib._bootstrap_external>:672(exec_module)
   1030/1    0.001    0.000    1.534    1.534 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    1.534    1.534 env.py:1(<module>)
       37    0.004    0.000    1.508    0.041 __init__.py:1(<module>)
   454/74    0.001    0.000    0.989    0.013 {built-in method builtins.__import__}
        4    0.000    0.000    0.985    0.246 utils.py:1(<module>)
   217545    0.184    0.000    0.979    0.000 ffi.py:302(__del__)
2965/1582    0.005    0.000    0.959    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
   160233    0.208    0.000    0.949    0.000 value.py:316(__next__)
   434171    0.823    0.000    0.823    0.000 ffi.py:112(__call__)
    41973    0.113    0.000    0.821    0.000 value.py:295(opcode)
     3701    0.014    0.000    0.804    0.000 env.py:74(update_state)
    94774    0.342    0.000    0.794    0.000 value.py:281(operands)
     3701    0.095    0.000    0.761    0.000 env.py:101(compute_operands_ages)
   217545    0.217    0.000    0.756    0.000 ffi.py:259(close)
    41983    0.099    0.000    0.599    0.000 ffi.py:228(ret_string)
   157890    0.261    0.000    0.589    0.000 value.py:402(_next)
        1    0.000    0.000    0.519    0.519 pyplot.py:19(<module>)
